菜谱名称,原料
泰国炸鸡肉饼,"鸡绞肉两,鱿鱼（剁碎）/,红咖哩酱/大匙,盐/小匙,糖,太白粉各小匙,蛋,泰国柠檬叶（切碎）片,苏打粉/小匙,四季豆（切碎）大匙,炸油。"
泰式蛋包什锦,"：绞肉（猪,牛或鸡肉）两,蒜末/小匙。：洋葱末,红萝卜丁各大匙 ,芹菜丁大匙,青豆仁大匙,小西红柿（切半）粒,草菇（罐头）。,：鱼露/大匙,鲜味露,糖各小匙,西红柿调味汁大匙,蛋（打散）。"
泰式烤鸡,"鸡半斤,鱼露大匙,胡椒/小匙,黄姜粉或咖哩粉/小匙,椰奶或牛奶/,蒜,芫荽茎（切碎）各大匙。"
咸肉鸡蛋烤豆及薯条,"瘦咸肉,煎蛋,烤豆,薯条包,扒番茄,盐调至够味,白胡椒调至够味。"
拌肉皮丝,"猪肉皮（上肋部位）,辣椒油,香油,精盐,味精,花椒面,葱白各。"
红烧肘子,"肘子,花生油（实耗）,酱油,料酒,盐.,葱,姜,五香料,淀粉,糖,汤,青蒜。"
花椒嫩醉鸡,"嫩光鸡,花椒,盐汤匙,酒汤匙,姜片,干葱头棵。"
熘肥肠,"猪净熟肥肠,水发玉兰片,水烫油菜,水烫胡萝卜,水发冬菇,猪清油,酱油,醋,花椒水,绍酒,味精,葱,姜,蒜,香菜梗,鸡汤,湿淀粉。"
茄汁草鱼片,"草鱼肉,番茄酱,柠檬酸微量,绍酒,精盐.,白糖,味精.,鲜汤,熟菜油。"
酸辣萝卜丝,"白萝卜,香菜,辣椒油,香油,酱油,醋,白糖,味精,姜,青蒜,精盐。"
瑶柱鱼翅,"水发鱼翅,干贝,红,绿樱桃,火腿片。"
玉箸山珍,"猪里脊肉,蕨菜,鸡蛋,料酒,盐,味精,胡椒粉,葱。"
蛋泡银鱼,"银鱼,鸡蛋清,淀粉,面粉,精盐,味精,绍酒,猪清油,花椒盐。"
红血肠,"生猪血公斤,肠皮,肉汤,香菜,胡椒粉,花椒,盐,味精。"
家常饼,"面粉,精盐,油。"
熘花胗,"净鸡胗,水发玉兰片,水烫胡萝卜,水烫油菜,酱油,醋,花椒水,味精,葱白,姜,蒜,混合油,鸡汤,水淀粉。"
芹菜鱼丝,"嫩芹菜心,净青鱼肉,鸡蛋清,精盐,料酒,味精,油,姜丝,湿淀粉,葱丝,高汤,猪油。"
鸭腰烧口蘑,"鸭腰,水发口蘑,冬笋,熟火腿,豌豆,酱油,水淀粉,味精,绍酒,白糖,猪油,鸡汤。"
鱼腹藏羊肉,"鲜鲤鱼,净羊肉,香菇,冬笋,黄瓜,红辣椒,精盐,酱油,料酒,醋,糖各。"
扒鸡,"鸡（.公斤）切为一半,去皮及骨,白酸奶,麦芽醋,洋葱细丁,大蒜酱,姜,鲜酱,印度混合香料,辣椒粉.,红粉,红色素.,黄色素.,盐.,黑胡椒粉.,柠檬（浓缩汁）.。"
扒酿馅小牛排,"小牛柳排,野蘑菇酱,瘦的熏肉片（意大利）,干番茄及洋紫苏汁,热的,土豆饼（厘米）,时令沙拉,沙拉汁,法香汁,香草黄油汁,面包,份装黄油,盐调至够味,黑胡椒粉调至够味,柠檬屑焯的,混合香草,橄榄油,英国芥末,柠檬汁,大蒜酱。"
花生素菜色拉,"花生,刀豆,圆白菜,豆芽,蕹菜,老豆腐,虾糕小块,蒜瓣,辣椒,月桂叶片,砂糖,精盐,香油,酸荚豆。"
冷番茄荡配红花虾仁,"番茄籽千,黄瓜,去皮,去籽并切成丁,洋葱丁,红椒丁,白面包丁,橄榄油,红酒醋,盐调至够味,白胡椒粉调至够味,番茄细丁,去皮黄瓜细丁,红椒细丁,绿椒细丁,面包丁,红花虾仁。"
牛肉火锅面,"面条,牛肉,香菇,鲜蘑,金针菇,白菜,大葱,韭菜,鸡蛋,高蒿等。"
印尼炒饭,"饭,牛肉,咖喱粉,葡萄干,盐,胡椒粉,蘑菇,色拉油。"
炸海蜊子肉,"海蜊子肉,鸡蛋,面粉,食油,雪利酒,面包屑,精盐,白醋,胡椒粉各。"
白菜薄荷,"圆白菜,薄荷叶片,葱头,橙子,芹菜末,杏仁,山楂糕,生菜油,白醋,白砂糖,发粉糊,肉豆蔻粉,盐。"
扒牛柳,"澳洲牛柳,香草黄油,胡椒汁,薯条或其它土豆包,时令蔬菜包,沙拉边,扒番茄一,沙拉装饰,面包,份装黄油,盐调至够味,黑胡椒粉调至够味,英式或地壮芥末,蒜酱,植物油,沙拉汁。"
煎鱿鱼带子配黑豆汁,"小鱿鱼,鲜净或冻鱼（解冻）,带子,冻,鲜,混合生菜叶,净的,红椒（）,面粉过箩的,盐,黑胡椒粉,红粉,甜,柠檬汁,喔彻斯特汁,辣椒籽,橄榄油,黑豆汁。"
柠檬蟹肉汤,"蟹肉,牛奶,葱头,芹菜,面粉,鲜奶油,黄油,砂糖,柠檬汁,红辣椒粉,雪利酒,精盐。"
石锅拌饭,"米饭,香油,肉末,鸡蛋,凉拌的嫩豆芽和青菜,炒好的蕨菜,红萝卜丝,炒好的肉末。"
云呢拿忌廉布甸,"忌廉公升,鲜奶汤匙,糖,呢拿香油数滴,鱼胶粉,杏仁甜酒汤匙。"
巴黎卷心菜,"卷心菜棵,葱头,香叶片,香芹棵,百里香粉,大蒜头瓣,火腿,黄油,白色调味汁,鸡清汤,精盐,胡椒粉各。"
法式拌菜花,"菜花,洋葱,精盐,沙拉油,醋,胡椒粉,芹菜叶。"
槟榔排骨锅,"幼齿槟榔粒,枸杞半两,猪肠半斤,排骨一斤,高汤,盐,米酒大匙。"
冰冻茄丁,"茄子,番茄汁,葱头,芹菜末,柠檬片,大葱,花生油,蜂蜜,白醋,胡椒粉,盐各。"
菠菜乳酪焗生蚝,"生蚝,菠菜或苋菜两（）,蒜茸茶匙,牛油安士,面粉汤匙,鲜奶汤匙,上汤/,面包糠,芝士粉,干葱粒（切片）,白酒汤匙。"
菠菜沙拉,"菠菜.分斤,煮鸡蛋,葱头末,醋油沙司。"
菠萝莴笋,"莴笋,菠萝（罐装）,白糖,白醋,精盐,味精,清水各。"
草莓黄瓜,"黄瓜,草莓,白糖,白醋,精盐,味精,清水各。"
洞房喜汤,"葱头,鹅油(或鸡油),鸡块,牛肉块,胡萝卜根,西红柿,小面包皮块,细面条,精盐,胡椒粉各。"
炖小牛肉,".斤去骨的牛肩肉,鲜乳酪,鸡蛋,大洋葱,柠檬,勺面粉,黄油,酸橙,干白葡萄酒,食盐,胡椒粉。"
多味鱼汤,"海鱼(绯鲤,无须鳕,海鳗,江鳕),葱头,大蒜瓣,韭葱根,西红柿,茵香,香芹,根,香叶片,风轮菜片,干辣椒,面包,熟土豆,红色调味汁,藏红花,色拉油,盐,胡椒粉各。"
鹅肝酱煎鲜贝,"法国鹅肝酱片,鲜干贝粒,芦笋支,洋葱,红萝卜,洋葱,盐,糖,太白粉"
鹅肝温沙拉,"鲜鹅肝,片状,洋葱,细碎,混合鲜香草,苹果,去皮,核,切成丁,黄油,苹果白兰地,黑香草醋汁,酸酱,核桃,烤碎,,黑香草醋,黑胡椒,盐,混合生菜,混合香草,红黄椒丝。"
鳄梨生鲑鱼,"鳄梨,盘新鲜鲑鱼,柠檬,橄榄油,片大蒜,黄油,食盐,胡椒粉。"
法国白酒田螺,"田螺-,千层面皮张,白葡萄酒,,,黄奶油公,大蒜碎,奶油公,鲜奶油,,。"
法国鹅肝酱煎鲜贝,"法国鹅肝酱片,鲜干贝粒,芦笋支,洋葱,红萝卜,洋葱。"
法国荞麦煎饼,"鸡蛋,烟肉,芝士馅煎饼。"
法式薄牛排,"肺利牛肉,精盐,胡椒粉和面粉各,黄酒,辣酱油,配菜用洋葱土豆或其他应时素菜。"
法式长棍,"精白面粉,白糖,细盐,麦淇淋,奶粉,酵母粉,清水。"
法式蛋白糖,"蛋白,细白砂糖,糖粉。"
法式蛋煎鱼,"出骨鱼肉,精盐,胡椒粉,黄酒和面粉各,鸡蛋三,白脱油,布朗沙司,供装饰和使用的香菜和新鲜柠檬各。"
法式烩土豆,"土豆,洋葱,黄油,蒜,浓蔬菜汤,香叶片,盐胡椒面,植物油,白葡萄酒各,切碎的芹菜。"
法式火焰薄饼,"薄饼（,rp）片,香草冰淇淋球,香橙半,柳橙皮（用刀将整柳橙皮以环形方式削下备用）,柳橙汁-oz,柠檬丝约十条,柠檬汁.oz,白糖茶匙,奶油（uttr）汤匙,白兰地柑橘酒（,rnMrnir）oz。"
法式鸡肉色拉,"煮熟土豆,青蕉或国光苹果约,煮熟鸡肉,青葱根,精盐,味精,胡椒粉,辣酱油和鲜奶油各,色拉油沙司,装饰用生菜叶,番茄和煮蛋各。"
法式蘑菇蛋卷,"洋茹约-朵,洋葱/,奶油大匙,盐,胡椒,蛋,牛奶大匙。"
法式柠檬塔,"开面,白脱油,白糖,蛋黄,柠檬汁及磨碎柠檬外皮。"
面壳肠子,"生猪肉蒜肠,鸡蛋,巴代面,芥末汁,生菜叶。"
八宝鹌鹑,"净鹌鹑,芡实,莲子,枸杞,猪肉,淀粉,罐头竹笋,精盐.,料酒,丁香粒,葱末,花椒,熟花生油（实耗）,姜末,葱末,龙虾片,辣酱。"
扒莲蓉鹌鹑,"净鹌鹑,花生油（实耗）,莲子末,火腿粒,酱油,冬菇粒,辣椒油,咸蛋黄,精盐,油菜心,熟鸡油,淀粉,鸡汤,葱段,芝麻（焙好）,姜片。"
葱爆牛肉,"牛腱子肉,大葱白,芝麻（焙好）,大蒜瓣,生姜末,酱油,辣椒面,豆油,干蘑菇朵,大米饭,黄酒,精盐,味精,米醋,芝麻油。"
脆皮鹌鹑,"鹌鹑,香菜,淀粉,精盐,辣椒油,酱油,生姜,豆油(实耗),大蒜,味精,辣大酱。"
大白菜泡菜,"大白菜棵（约）,胡椒面,大葱,大蒜,红辣椒,生姜,牛肉汤,淡酱油,味精,白糖,盐。"
蛋白丸子,"猪膘柳肉,水发木耳,罐头竹笋,鸡汤,花椒,胡椒面.,鸡蛋清,味精,干淀粉,鸡汤（实耗）,大葱,芝麻面（焙好）,料酒。"
法式土司,"大方面包,鸡蛋,白糖,肉桂粉,牛奶,装饰用糖粉。"
法式洋葱汤,"牛肉汤,洋葱,色拉油,盐,胡椒粉,面包片,沙司。"
翡翠肉汤,"鸡肉,烤牛肉,烤猪肉,猪五花肉,菠菜,黄油,鸡清汤,鸡蛋,葱头,芹菜,精盐,胡椒粉,醋各。"
鲑鱼奶油冻,"磅不带骨的鲑鱼片,匙酸奶油,柠檬汁,中等的土豆, 匙鱼子酱,茶匙芥末食盐,胡椒粉。"
海带芥末沙司,"水发海带,人造奶油,红辣椒面,芥末面,柠檬汁,白醋,牛奶,白糖。"
海鳗汤,"海鳗,黄油,胡萝卜根,萝卜根,韭葱根,葱头,香叶片,芹菜棵,香芹叶,精盐,胡椒粉各。"
韩氏鳀鱼炒香菇,大匙特级橄榄油（
核桃鸡汤,"鸡膀尖,鲜核桃,胡萝, 根,葱头,丁香花蕾,芹菜,棵,百里香粉(或五香粉),香叶,片,鲜奶油,蛋黄,精盐,胡椒粉各。"
烘焙芦笋,"束芦笋,盎司黄油,盎司新鲜的乳酪,盎司栽植的蘑菇,鸡蛋,柠檬,食盐,胡椒粉。"
红烩肉杂拌,"大虾(约,公斤左右),咖喱粉,葱头,生菜油（实耗）,姜,胡椒粒,干辣椒,香叶片,芹菜,胡萝卜,味精,番茄酱,鸡清汤,奶油,精盐。"
红汁黄瓜,"嫩黄瓜,鲜西红柿,酸奶油,酸奶酪,青蒜,辣酱油,小茴香,白糖,胡椒粉,盐各。"
黄瓜粉皮,"黄瓜条,熟鸡蛋,柠檬,蛋黄酱,粉皮,张,瘦猪,葱,姜,大蒜头,香菜末,精盐,味精,胡椒粉,水发海米各。"
鸡蛋番茄沙拉,"鸡蛋,鲜番茄,葱头,芹菜叶,青椒,红椒,辣椒粉,芥末酱,生菜油,砂糖,白醋,精盐,凉开水,胡椒粉。"
鸡皇饭,"熟鸡肉两()切粒,熟薯仔(切粒),青椒两()切粒,红椒两()切粒,磨菇粒(切片),牛油两(),白饭碗,盐/茶匙,糖/茶匙,鸡粉/茶匙,奶油料,蛋黄(打散),淡奶,面粉汤匙,上汤。"
鸡肉沙拉,"熟鸡脯肉,素沙拉,红白菜,鲜黄瓜,马乃司沙司,熟鸡蛋,生菜叶。"
煎龙虾肉,"龙虾-公（）,蒜瓣,红萝卜,洋葱,西芹,苹果,苹果白兰地酒,苹果酒（西打）,鱼汤,鲜忌廉,红胡椒,香叶芹,红胡椒,牛油面糊,盐,胡椒,牛油,橄榄油。"
茭白虾冻,"茭白,猪肉皮,大虾,熟豌豆,鸡蛋,熟胡萝卜,葱头,芹菜,白糖,香叶片,精盐,胡椒粉各。"
芥末拌黄瓜,"嫩鲜黄瓜,香油,白醋,芥末酱,胡椒粉,精盐各。"
焗猪扒饭,"猪扒/磅（切块）,蛋液,白饭碗,番茄（去核切粒）,磨菇粒（切片）,什菜粒/,洋葱/（切粒）,茄膏汤匙,上汤/,牛油安士,面粉汤匙,番茄(去核切粒),味椒盐/茶匙,外国酱油茶匙,急汁/茶匙,白兰地酒茶匙,油茶匙,盐茶匙,糖汤匙,外国酱油/茶匙,急汁汤匙,胡椒粉,白兰地酒茶匙,茄汁汤匙。"
菊莴苣色拉,"中等的菊莴苣,/盎司胡桃,对半分,匙向日葵油,匙醋,盎司罗福奶酪,匙胡桃油,茶匙芥末,食盐,胡椒粉。"
卷心菜包肉,"卷心菜大叶片,牛肉末,面粉,葱头末,大蒜末,番茄酱,辣酱油,猪油,黄酒,牛肉清汤,精盐,胡椒粉各。"
咖喱油烟虾段,"大虾(约,公斤左右),咖喱粉,葱头,生菜油（实耗）,姜,胡椒粒,干辣椒,香叶片,芹菜,胡萝卜,味精,番茄酱,鸡清汤,奶油,精盐。"
烤羊肉,"羊后腿净肉（当年生大羊羔）公斤,葱头,芹菜,胡萝卜,生菜油,大蒜片,酸白菜,红菜头丁,西红柿,香叶片,生菜叶,胡椒粒,精盐,白醋各。"
冷烤鸡,"嫩母鸡(约.公斤左右),胡萝卜,芹菜,葱头O,精盐,香叶半片,胡椒粒,鸡清汤,生菜油,奶油,鸡油,红白菜,酸黄瓜,鲜西红柿,纸花,萝卜花,生菜叶。"
龙虾占米多,"龙虾（约磅）,干葱茸茶匙,蒜茸茶匙,洋葱粒/ ,白菌/（切片）,烟肉片（切碎）,芝士粉汤匙,面包糠,牛油安士,面粉/,淡奶汤匙,上汤/,盐/茶匙,糖/茶匙,芥末粉/茶匙。"
芦笋浓汤,"芦笋,鸡清汤,鲜奶油,蛋黄,土豆,精盐,胡椒粉各。"
马背上的魔鬼,"生蠔双,煙肉(于中间切成半条),辣粉/茶匙,多士,-/寸四方形或圆形块,法国芥酱茶匙。"
马乃司拌莴笋,"嫩莴笋,马乃司,麻油,白醋,胡椒粉,精盐各。"
奶油牛肉丁番茄汤,"奶油番茄汤公斤,熟牛,胡萝卜IOO,土豆,番茄酱,香叶片,黄酒,白塔油。"
奶汁海带,"水发海带,蜂蜜,白糖,牛奶,鲜奶油,白葡萄酒,柠檬片。"
柠檬牛油煎西冷,"西冷扒件,时蔬,橄榄油,炸薯条,白兰地酒汤匙,洋葱盐,蒜盐,急汁,牛油安士,柠檬汁/茶匙,番荽碎茶匙,黑椒碎。"
牛肉丸子汤,"牛腿肉,鸡蛋,葱头,胡萝卜,土豆,豌豆,鸡油,精盐,牛肉清汤.公斤,香叶半片,干辣椒,胡椒粉,味精各。"
茄子沙拉,"茄子,蒜苗段,芹菜,去皮柠檬,熟鸭蛋,清水,盐,胡椒粉,白醋,色拉油各。"
瓤馅鸡肉饼,"鸡脯肉,牛奶,面包,鸡蛋,素菜丁。"
生耗鱼汤,"三片新鲜生蚝,,的梭子鱼慕斯,一蛋,盐,,的肉,蔻,,的鲜奶油,,的舌鲽鱼。"
束法鸡,"净膛光鸡（约.公斤左右）,肝泥子,奶油沙司,香叶片,胡萝卜,葱头,芹菜,生菜叶,西红柿,鲜黄瓜,精盐。"
酸辣肚丝,"猪肚皮（去掉肚头部分）,葱头,蘑菇片,白塔油,酸奶油,辣酱油,草莓酱,盐,胡椒粉各。"
酸甜莴笋,"嫩莴笋,鲜西红柿,青蒜,柠檬汁（或鲜橙汁）,砂糖,凉开水,精盐。"
西红柿百里香鳕鱼,"磅黑鳕 ,白葡萄酒,束百里香,西红柿,柠檬,盎司橄榄油,食盐,胡椒粉,洋葱。"
西红柿花双拼,"鲜西红柿(大小各),松花蛋,熟鸭蛋,法国沙司,鲜芹菜叶,姜末,大蒜末,葱头,芥末粉,色拉油,精盐,胡椒粉,白醋各。"
咸蛋挞,"迷你挞皮件,黑森林火腿,切粒片,日式芝士碎或其他清淡芝士六安士,盐及白胡椒粉,忌廉-/,鸡蛋。"
香脂醋风味烤鸡,"（人份量）鸡,盐,胡椒,牛油,沙律油调味汁,清炖牛仔肉汤,香脂醋,芜菁,小红萝卜根,节瓜,绿花椰菜,苹果,柠檬汁,鸡汤少量"
蟹黄活虾,"罐头蟹肉,蛋黄沙司,,熟鸡蛋,小河虾,葱头末,姜末,精盐,味精,花椒油,白醋,料酒,芹菜叶,辣酱油,青蒜末,柠檬汁,胡椒粉,莴笋叶,奶油,白糖各。"
洋葱汤,"/磅褐色的洋葱,盎司黄油,白葡萄酒,薄片面包片, 盎司瑞士干酪,匙橄榄油,匙面粉,食盐,胡椒粉。"
蒸鸡蛋肉卷,"瘦猪肉公斤,鸡蛋,生菜油,肉蔻末,牛奶,精盐,胡椒粉,玉米粉,味精,油纸,/张,猪肥膘肉,红白菜,生菜叶。"
中法双松,"鸡肝,黄豆煎饼张(约左右),大虾头,鲜西红柿,西红柿酱,葱头,白兰地酒,白糖,大葱,生菜油(实耗),黄油,姜末,红葡萄酒,精盐,味精各"
猪肉冻子,"瘦猪肉公斤,鸡蛋,结力片,鸡蛋清,西红柿,罐头豌豆,生菜叶,胡萝卜,辣根沙司,葱头,芹菜,嫩芹菜叶,精盐,味精,鸡清汤各。"
白斩文昌鸡,"文昌鸡（以将要下蛋的小母鸡最佳）（重约）,姜丝,蒜泥,味精,白醋,白糖,精盐,老抽各。"
海南煎饼,"精面粉,发酵粉,鸡蛋,精盐,味精,胡椒粉,蒜茸,葱茸,香料,精猪油。"
海南萝卜糕,"糯米,清水千,白萝卜丝.千,新鲜虾米,叉烧,五花腩肉,味精,食盐,白糖,胡椒粉,五香粉,香油,蒜头油,炒熟芝麻碎,干净葱粒等。"
金华海鲜卷,"鲜虾,鲜带子,火腿,北菇,西芹,红萝卜,白萝卜（或冬瓜）,香菜,棕油,精盐,味精,白糖,麻油,胡椒粉,生粉。"
九层油糕,"大米,生粉,白糖,红糖各,葱油,炒芝麻。"
群龙戏珠,"中角虾（重约）,鲜虾胶,活生鱼（即“乌鳢”）尾（重约）,生油（耗）,精盐,味精,面包渣。"
石山扣羊肉,"带皮软骨羊肉（以羊腩肉最好）,芝麻油,南（腐）乳,柱候酱,老抽,盐,糖,味精,胡椒粉.,绍酒,姜,葱,蒜子,棕榈油,二汤。"
文昌空心煎堆,"糯米粉,白糖,生油。"
八宝全鸡,"笋母鸡（约.公斤）,江米,小枣,莲子,栗子,火腿,冬菇,白果,罐头竹笋,盐,糖.,料酒,辣大酱,鸡油,鸡汤,水淀粉。"
扒野兔肉,"净熟兔肉,精盐,花椒面,酱油,辣椒酱,生姜末,大葱片,鸡汤,大蒜片,湿淀粉,芝麻油,熟鸡油,熟芝麻。"
白扒燕菜,"干燕菜,净火腿,油菜心棵,鸡汤公斤,盐,白糖,味精,料酒,芝麻油,淀粉。"
白果烧牛肉,"牛肉,大葱,白果,生姜,酱油,白糖,淀粉,味精,精盐,豆油。"
白雪鸡,"鸡脯肉,鸡蛋清,鸭肥膘肉,火腿末,油菜叶末,熟鸡蛋黄糕,水发冬菇,料酒,精盐.,味精.,白鸡油,细干淀粉,水淀粉,白芝麻（焙好）,葱姜水。"
百花鹌鹑,"净鹌鹑,虾仁,青蟹肉,牛奶,青蟹黄,精盐,火腿末,味精,鸡蛋清,料酒,香菜,白糖,芥菜,鸡汤,芝麻油,淀粉,胡椒粉,熟鸡油,熟芝麻。"
拌毛蟹肉,"新鲜蟹肉,醋,酱油,精盐,白糖,大葱,生姜,大蒜,辣椒面,味精.,芝麻油。"
拌墨鱼,"净墨鱼,甜青椒,大葱,白糖,酱油,芝麻油,味精,芝麻（焙好）。"
拌牛舌,"熟牛舌,水发海米,菠菜,生姜,大蒜,精盐,辣椒面,芝麻油,芝麻（焙好）,味精。"
拌鲜贝,"鲜贝,酱油,醋,味精.,芝麻油,精盐.,辣椒酱,大葱,生姜,大蒜。"
鲍鱼鹌鹑,"鲜鲍鱼,鹌鹑,蘑菇,黄瓜,花生油（实耗）,料酒,酱油,精盐,鸡骨汤,蛋清,大葱,胡椒粉,生姜,芝麻油,大蒜,淀粉。"
鲍鱼裙边,"鲍鱼肉,裙边,净老母鸡公斤,干贝,豌豆苗,盐,白糖,胡椒面,芝麻油,水淀粉,大葱,生姜,料酒。"
爆炒虾仁,"虾仁,青豆,豆油（实耗）,芝麻油,辣椒面,辣椒酱,鸡汤,料酒,精盐,白糖,蛋清,胡椒面,大葱,味精,生姜,淀粉。"
冰糖狗腿,"狗腿半（约.公斤左右）,油菜心棵,冰糖,精盐.,料酒,酱油.,花生油公斤（实耗）,生姜片,水淀粉,狗骨汤,胡椒粉.,芝麻盐。"
菠菜豆芽汤,"菠菜,绿豆芽,狗肉,黄酱,辣椒酱,清米汤,酱油,大蒜茸,芝麻油,葱丝,胡椒面,生姜丝,味精,豆油。"
菜心狮子狗肉头,"狗腿肉（瘦七肥三）,油菜心,鸡蛋,料酒,狗骨白汤,精盐,酱油,味精,白糖,水淀粉,大葱段,花生油（实耗）,生姜片,炖酱。"
叉烧狗肉,"狗腿肉方（约公斤左右）,水发冬笋,胡萝卜,大葱,水淀粉,生姜,狗骨汤,酱油.,料酒,白糖.,胡椒粉.,精盐,焙好芝麻。"
炒狗肝,"狗肝,鸡蛋,笋片（罐头竹笋）,黄瓜片,胡萝卜片,葱,生姜,大蒜头,狗骨汤,花生油（实耗）,香油,酱油,米醋,料酒,味精.,碱面,精盐。"
炒蚶子,"鲜蚶肉,罐头竹笋,蘑菇,花生油,大葱,生姜,大蒜,料酒,味精.,酱油,精盐,淀粉,鸡汤,芝麻油,水发木耳。"
炒牛肉片,"牛臀尖,芝麻油,酱油,大葱,大蒜泥,韭菜,白糖,辣椒油,烤牛肉渍汁,豆油。"
炒什锦西红柿,"西红柿,瘦猪肉,红辣椒,青甜椒,鸡蛋,豆油,精盐,白糖,味精,大葱,芝麻油,鸡汤,水淀粉,辣大酱。"
炒贻贝,"贻贝肉,罐头竹笋,蘑菇,水发木耳,油菜心,花生油,酱油,料酒,味精.,淀粉,精盐.,辣椒面.,大葱,大蒜,生姜。"
炒杂烩,"牛肉片,白糖,酱油,大葱,大蒜,黑胡椒面.,芝麻油,大白菜,胡萝卜,竹笋,洋葱头,黄瓜各,菠菜,鸡蛋,粉丝,酱油,白糖,精盐,胡椒粉.,味精。"
炒章鱼,"鲜章鱼肉,罐头竹笋,蘑菇,水发木耳,豆油,酱油,料酒,味精,淀粉,大葱,大蒜,生姜,精盐,芝麻（焙好）。"
陈皮炸鹅,"鹅肉,鸡蛋,面粉,豆油（实耗）,面包渣,土豆,黄胡萝卜,陈皮,辣大酱,豌豆,葱,姜,胡椒面,酱油,料酒,白糖,醋,芝麻油。"
齿绿苦荬菜（苦苦菜）,"苦荬菜公斤（根茎）,糯米面,红辣面,大蒜头,鱼清汤,大葱根,生姜,芝麻（焙好）,精盐,白糖。"
葱辣鳜鱼条,"鳜鱼条（约）,大葱,鸡汤,花生油（实耗）,生姜,精盐,酱油,料酒,味精,干辣椒,芝麻（焙好）,白糖。"
脆皮嫩鸡,"嫩鸡（约）,大葱,料酒,生姜,酱油,花椒盐,辣大酱,芝麻油,豆油（实耗）。"
大酱豆腐,"豆腐,大酱,豆油,白糖,料酒,大葱,生姜,味精,淀粉。"
蛋清红鳟鱼条,"鲜红鳟鱼条（约）,鸡蛋清,大葱白段,辣椒酱,料酒,精盐.,味精.,干淀粉,豆油（实耗）,花椒盐。"
党参炖鸡,"母鸡（约.公斤）,党参,枸杞,大酱,陈皮,姜片片,精盐。"
地枣狗肉条,"地枣,狗肉（熟瘦狗肉）,豆油（实耗）,鸡蛋,面粉,精盐,酱油,胡椒面,清水,酱油,食醋,白糖,葱末。"
炖牛掌,"牛蹄,净膛母鸡千,干贝,肘子,菜心,大葱,精盐,生姜,炖酱,料酒,冰糖,芝麻油,味精,豆油,胡椒面.,鸡油,焙好芝麻。"
番茄黄焖鸡块,"净鸡块,西红柿,花生油（实耗）,辣酱油,辣椒面,料酒,精盐,白糖,味精,鸡蛋,大葱,鸡汤,生姜,水淀粉,芝麻油。"
番茄牛肉菠菜汤,"熟牛肉,鸡汤,土豆,鸡蛋,芝麻油,盐,胡椒面,花椒粒,番茄酱,菠菜,醋,辣椒油,芝麻（焙好）,葱头,胡萝卜根。"
翡翠鸡茸豆腐汤,"豆腐,白菜心,鸡胸肉,鸡蛋清,菠菜叶,熟火腿,水发香菇,水发海米,干贝,淀粉,鸡汤,料酒,盐,味精,芝麻油。"
翡翠鲜贝球,"鲜贝,熟鸡油,菠菜叶,鸡蛋清,水淀粉,味精,生姜,料酒,盐,大葱,鲜西红柿,鸡清汤,芝麻油,干淀粉。"
粉丝煨牛肉丝,"牛肋条肉,大葱,粉丝,芝麻油,辣椒粉,鸡蛋,精盐,黑胡椒粉.,白糖。"
凤凰里脊,"猪里脊,甜青椒,胡萝卜,鸡蛋,面粉,熟白鸡脯,水发香菇,水发翅针,青萝卜,鸡虾泥,豆腐,大葱末,料酒,生姜末,鸡汤,味精,番茄红油,樱桃,水淀粉,芝麻面,豆油。"
凤凰氽牡丹,"水发海蜇头,鸡脯肉,鲜蘑菇,盐,金达花朵,味精,水淀粉,鸡蛋清半,鸡清汤公斤,熟鸡油（实耗）,芝麻油。"
芙蓉蹄筋,"发好的蹄筋,鸡蛋清,火腿,熟冬笋,鸡汤,料酒,精盐.,味精,芝麻油,水淀粉,鸡油（实耗）。"
芙蓉虾仁,"虾仁,鸡蛋清,豆油（实耗）,精盐,味精,水菱粉,鸡汤,干菱粉,芝麻油。"
盖浇饭,"大米饭,豆芽,黄瓜,胡萝卜,芹菜,熟牛肉丝,鸡蛋,芝麻（焙好）,紫菜,大葱末,芝麻油。"
干贝海参,"水发海参,干贝,熟鸡肉,酱油,味精,胡椒面.,花生油,蘑菇,料酒,湿淀粉,芝麻油.,精盐.,鸡汤。"
干贝黄肉翅,"鲜干贝,干黄肉翅公斤,老母鸡.公斤,填鸭公斤,火腿,大葱,淀粉,生姜,味精,芝麻油,芝麻（焙好）,干辣椒。"
干贝鱼肚,"干贝,干鱼肚,老母鸡,填鸭,糖,盐,料酒,大葱,淀粉,生姜,胡椒面,芝麻（焙好）。"
干烧鳜鱼,"鳜鱼条（约）,大酱,豆油,料酒,精盐,酱油,醋,白糖,胡椒面,辣椒面,辣椒油,葱,淀粉,姜。"
干烧鲫鱼,"活鲫鱼条（约）,花生油,精盐,醋,酱油,白糖,料酒,胡椒面,大酱,辣椒酱,大葱,大蒜,生姜,芝麻油,味精,淀粉。"
干烧鲤鱼,"鲤鱼条（约）,蘑菇,罐头竹笋,水发木耳,熟青豆,精盐,酱油,红干辣椒,大葱,生姜,大蒜,白糖,料酒,味精,豆油（实耗）,鸡汤,芝麻（焙好）,芝麻油。"
干煨肉条,"猪方肉,熟火腿丁,水发香菇,罐头冬笋,青豆,酱油,料酒,白糖,盐,味精,香油,大葱块,鸡汤,生姜块,辣椒油,水淀粉,大酱卤汁公斤。"
